0.0,71,5.94,74.9
1.2,70,5.94,74.9
4.3,68,5.94,74.9
0.9,67,5.94,74.9
1.3,66,5.94,74.9
0.5,64,5.94,74.9
2.7,72,5.94,74.9
0.3,70,5.94,74.9
0.7,68,5.94,74.9
1.7,67,5.94,74.9
1.2,65,5.94,74.9
0.7,64,5.94,74.9
1.2,63,5.94,74.9
1.0,71,5.94,74.9
1.0,68,5.94,74.9
2.9,67,5.94,74.9
0.7,65,5.94,74.9
0.3,64,5.94,74.9
0.7,62,5.94,74.9
1.2,61,5.94,74.9
0.2,69,5.94,74.9
1.2,66,5.94,74.9
0.3,65,5.94,74.9
0.8,63,5.94,74.9
2.4,62,5.94,74.9
6.3,72,5.94,74.9
2.2,71,5.94,74.9
1.8,70,5.94,74.9
7.0,67,5.94,74.9
7.5,67,5.94,74.9
4.9,66,5.94,74.9
7.3,66,5.94,74.9
2.0,65,5.94,74.9
6.9,73,5.94,74.9
1.3,70,5.94,74.9
0.9,69,5.94,74.9
1.4,67,5.94,74.9
5.5,66,5.94,74.9
1.7,65,5.94,74.9
6.5,64,5.94,74.9
1.0,72,5.94,74.9
1.5,69,5.94,74.9
2.6,67,5.94,74.9
2.3,66,5.94,74.9
7.4,66,5.94,74.9
1.2,64,5.94,74.9
0.5,63,5.94,74.9
1.7,61,5.94,74.9
0.8,69,5.94,74.9
1.0,68,5.94,74.9
2.3,66,5.94,74.9
0.3,65,5.94,74.9
0.7,63,5.94,74.9
0.8,61,5.94,74.9
1.0,59,5.94,74.9
1.0,67,5.94,74.9
0.2,66,5.94,74.9
0.5,64,5.94,74.9
0.5,63,5.94,74.9
0.5,61,5.94,74.9
0.7,60,5.94,74.9
0.2,58,5.94,74.9
0.3,57,5.94,74.9
5.5,66,5.94,74.9
2.1,65,5.94,74.9
1.2,63,5.94,74.9
1.9,62,5.94,74.9
3.7,61,5.94,74.9
3.7,68,5.94,74.9
1.2,67,5.94,74.9
1.3,65,5.94,74.9
1.0,64,5.94,74.9
0.3,62,5.94,74.9
1.2,61,5.94,74.9
0.3,59,5.94,74.9
0.5,58,5.94,74.9
3.2,58,5.94,74.9
2.0,66,5.94,74.9
0.5,65,5.94,74.9
1.2,63,5.94,74.9
0.8,62,5.94,74.9
0.3,60,5.94,74.9
0.3,57,5.94,74.9
1.2,57,5.94,74.9
0.5,58,5.94,74.9
0.7,58,5.94,74.9
1.5,58,5.94,74.9
0.7,58,5.94,74.9
1.5,58,5.94,74.9
1.7,58,5.94,74.9
2.5,58,5.94,74.9
0.3,58,5.94,74.9
4.2,58,5.94,74.9
3.2,68,5.94,74.9
0.8,65,5.94,74.9
1.0,63,5.94,74.9
1.0,62,5.94,74.9
4.2,70,5.94,74.9
2.6,68,5.94,74.9
1.0,67,5.94,74.9
0.5,65,5.94,74.9
20.2,71,5.94,74.8
1.2,70,5.94,74.8
0.2,69,5.94,74.8
0.8,67,5.94,74.8
0.7,65,5.94,74.8
1.0,64,5.94,74.8
1.0,62,5.94,74.8
2.9,61,5.94,74.8
12.5,70,5.94,74.8
2.6,68,5.94,74.8
2.5,67,5.94,74.8
2.4,66,5.94,74.8
5.4,74,5.94,74.8
0.6,72,5.94,74.8
0.5,69,5.94,74.8
0.3,67,5.94,74.8
0.2,66,5.94,74.8
2.1,74,5.94,74.8
0.5,73,5.94,74.8
0.9,71,5.94,74.8
0.7,70,5.94,74.8
3.8,68,5.94,74.8
0.9,75,5.94,74.8
0.3,73,5.94,74.8
1.9,71,5.94,74.8
0.3,70,5.94,74.8
2.7,68,5.94,74.8
0.2,67,5.94,74.8
10.9,65,5.94,74.8
1.2,74,5.94,74.8
1.0,72,5.94,74.8
7.6,70,5.94,74.8
0.5,69,5.94,74.8
0.5,68,5.94,74.8
